Corr,X,Y
3,595185.544,1669140.915
3,595185.809,1669139.951
3,595186.073,1669138.986
3,595186.338,1669138.022
3,595186.603,1669137.058
3,595186.867,1669136.093
3,595187.132,1669135.129
3,595187.397,1669134.165
3,595187.662,1669133.2
3,595187.926,1669132.236
3,595188.191,1669131.272
3,595188.456,1669130.307
3,595188.48,1669130.217
3,595188.316,1669129.231
3,595188.152,1669128.245
3,595187.987,1669127.258
3,595187.823,1669126.272
3,595187.658,1669125.285
3,595187.494,1669124.299
3,595187.33,1669123.313
3,595187.165,1669122.326
3,595187.001,1669121.34
3,595186.836,1669120.353
3,595186.672,1669119.367
3,595186.508,1669118.381
3,595186.343,1669117.394
3,595186.179,1669116.408
3,595186.014,1669115.421
3,595185.85,1669114.435
3,595185.686,1669113.449
3,595185.521,1669112.462
3,595185.357,1669111.476
3,595185.192,1669110.489
3,595185.028,1669109.503
3,595184.864,1669108.517
3,595184.699,1669107.53
3,595184.535,1669106.544
3,595184.37,1669105.558
3,595184.206,1669104.571
3,595184.042,1669103.585
3,595183.877,1669102.598
3,595183.713,1669101.612
3,595183.548,1669100.626
3,595183.384,1669099.639
3,595183.22,1669098.653
3,595183.055,1669097.666
3,595182.891,1669096.68
3,595182.726,1669095.694
3,595182.562,1669094.707
3,595182.398,1669093.721
3,595182.233,1669092.734
3,595182.069,1669091.748
3,595181.904,1669090.762
3,595181.74,1669089.775
3,595181.576,1669088.789
3,595181.411,1669087.802
3,595181.247,1669086.816
3,595181.082,1669085.83
3,595180.918,1669084.843
3,595180.754,1669083.857
3,595180.589,1669082.87
3,595180.425,1669081.884
3,595180.26,1669080.898
3,595180.096,1669079.911
3,595179.932,1669078.925
3,595179.767,1669077.938
3,595179.603,1669076.952
3,595179.438,1669075.966
3,595179.396,1669075.708
3,595178.745,1669074.949
3,595178.094,1669074.19
3,595177.443,1669073.431
3,595176.792,1669072.671
3,595176.142,1669071.912
3,595175.491,1669071.153
3,595174.84,1669070.394
3,595174.189,1669069.634
3,595173.538,1669068.875
3,595172.888,1669068.116
3,595172.237,1669067.357
3,595171.586,1669066.597
3,595170.935,1669065.838
3,595170.284,1669065.079
3,595169.634,1669064.32
