R2ID,Identificador,Dist,Ranitas_C6M,C6M
1216,7939,14,0,0
1217,7940,13,0,0
1218,7941,13,0,0
1219,7942,12,0,0
1220,7943,12,0,0
1221,7944,12,0,0
1222,7945,11,0,0
1223,7946,11,0,0
1224,7947,11,0,0
1225,7948,10,0,0
1226,7949,9,0,0
1227,7950,9,0,0
1228,7951,8,0,0
1229,7952,8,0,0
1230,7953,7,0,0
1231,7954,6,0,0
1232,7955,6,0,0
1233,7956,4,0,0
1234,7957,3,0,0
1235,7958,3,0,0
1236,7959,1,0,0
1237,7960,0,0,1
1238,7961,0,0,1
1239,8064,26,0,0
1240,8065,27,0,0
1241,8066,28,0,0
1242,8067,29,0,0
1243,8068,29,0,0
1244,8069,31,0,0
1245,8070,31,0,0
1246,8071,31,0,0
1247,8072,32,0,0
1248,8073,32,0,0
1249,8074,21,0,0
1250,8075,22,0,0
1251,8076,20,0,0
1252,8077,20,0,0
1253,8078,21,0,0
1254,8079,20,0,0
1255,8080,20,0,0
1256,8081,21,0,0
1257,8082,21,0,0
1258,8083,20,0,0
1259,8084,21,0,0
1260,8085,21,0,0
1261,8086,19,0,0
1262,8087,19,0,0
1263,8088,19,0,0
1264,8089,19,0,0
1265,8090,19,0,0
1266,8091,19,0,0
1267,8092,19,0,0
1268,8093,18,0,0
1269,8094,18,0,0
1270,8095,18,0,0
1271,8096,18,0,0
1272,8097,18,0,0
1273,8098,18,0,0
1274,8099,17,0,0
1275,8100,17,0,0
1276,8101,17,0,0
1277,8102,17,0,0
1278,8103,17,0,0
1279,8104,17,0,0
1280,8105,16,0,0
1281,8106,16,0,0
1282,8107,16,0,0
1283,8108,17,0,0
1284,8109,17,0,0
1285,8110,17,0,0
1286,8111,17,0,0
1287,8112,17,0,0
1288,8113,17,0,0
1289,8114,16,0,0
1290,8115,16,0,0
1291,8116,16,0,0
1292,8117,15,0,0
1293,8118,15,0,0
1294,8119,15,0,0
1295,8120,15,0,0
1296,8121,15,0,0
1297,8122,15,0,0
1298,8123,15,0,0
1299,8124,15,0,0
1300,8125,14,0,0
1301,8126,15,0,0
1302,8127,15,0,0
1303,8128,15,0,0
1304,8129,16,0,0
1305,8130,15,0,0
1306,8131,15,0,0
1307,8132,14,0,0
1308,8133,14,0,0
1309,8134,13,0,0
1310,8135,13,0,0
1311,8136,13,0,0
1312,8137,12,0,0
1313,8138,12,0,0
1314,8139,12,0,0
1315,8140,11,0,0
1316,8141,10,0,0
1317,8142,10,0,0
1318,8143,9,0,0
1319,8144,9,0,0
1320,8145,8,0,0
1321,8146,7,0,0
1322,8147,7,0,0
1323,8148,5,0,0
1324,8149,4,0,0
1325,8150,4,0,0
1326,8151,2,0,0
1327,8152,1,0,0
1328,8153,0,1,1
1329,8154,0,1,1
1330,8256,22,0,0
1331,8257,23,0,0
1332,8258,24,0,0
