I,Elev_Rel
1581,4
1582,4
1583,5
1584,5
1585,5
1586,5
1587,5
1588,5
1589,5
1590,5
1591,5
1592,5
1593,5
1594,5
1595,5
1596,5
1597,5
1598,6
1599,6
1600,6
1601,5
1602,5
1603,5
1604,6
1605,6
1606,6
1607,6
1608,6
1609,6
1610,7
1611,7
1612,7
1613,8
1614,8
1615,8
1616,10
1617,10
1618,10
1619,11
1620,11
1621,12
1622,13
1623,13
1624,14
1625,15
1626,15
1627,16
1628,17
1629,17
1630,18
1631,18
1632,18
1633,18
1634,19
1635,20
1636,20
1637,20
1638,21
1639,21
1640,21
1641,21
1642,21
1643,21
1644,21
1645,21
1646,21
1647,22
1648,22
1649,22
1650,22
1651,22
1652,22
1653,23
1654,23
1655,23
1656,24
1657,24
1658,24
1659,24
1660,24
1661,24
1662,25
1663,25
1664,25
1665,26
1666,26
1667,26
1668,27
1669,27
1670,26
1671,27
1672,27
1673,27
1674,27
1675,27
1676,27
1677,27
1678,27
1679,26
1680,23
1681,23
1682,23
1683,23
1684,23
1685,23
1686,23
1687,23
1688,21
1689,21
1690,21
1691,21
1692,22
1693,22
1694,22
1695,22
1696,22
1697,22
1698,20
1699,17
1700,17
1701,17
1702,17
1703,17
1704,17
1705,17
1706,17
1707,18
1708,18
1709,18
1710,18
1711,15
1712,15
1713,16
1714,16
1715,16
1716,16
1717,16
1718,16
1719,17
1720,17
1721,17
1722,15
1723,15
1724,15
1725,13
1726,13
1727,13
1728,5
1729,5
1730,6
1731,6
1732,6
1733,6
1734,6
1735,6
1736,8
1737,8
1738,8
1739,8
1740,8
1741,7
1742,8
1743,8
1744,8
1745,9
1746,9
1747,9
1748,8
1749,8
1750,8
1751,7
1752,7
1753,7
1754,6
1755,6
1756,6
1757,5
1758,5
1759,5
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,4
1768,4
1769,4
1770,4
1771,4
1772,4
1773,4
1774,4
1775,5
1776,5
1777,5
1778,5
1779,5
1780,5
1781,5
1782,5
1783,5
1784,5
1785,5
1786,5
1787,5
1788,5
1789,5
1790,6
1791,6
1792,6
1793,5
1794,5
1795,5
1796,6
1797,6
1798,6
1799,6
1800,6
1801,6
1802,7
1803,7
1804,7
1805,8
1806,8
1807,8
1808,10
1809,10
1810,10
1811,11
1812,11
1813,12
1814,13
1815,13
1816,14
1817,15
1818,15
1819,16
1820,17
1821,17
1822,18
1823,18
1824,18
1825,18
1826,19
1827,20
1828,20
1829,20
1830,21
1831,21
1832,21
1833,21
1834,21
1835,21
1836,21
1837,21
1838,21
1839,22
1840,22
1841,22
1842,22
1843,22
1844,22
1845,23
1846,23
1847,23
1848,24
1849,24
1850,24
1851,24
1852,24
1853,24
1854,25
1855,25
1856,25
1857,26
1858,26
1859,26
1860,27
1861,27
1862,26
1863,27
1864,27
1865,27
1866,27
1867,27
1868,27
1869,27
1870,27
1871,26
1872,23
1873,23
1874,23
1875,23
1876,23
1877,23
1878,23
1879,23
1880,21
1881,21
1882,21
1883,21
1884,22
1885,22
1886,22
1887,22
1888,22
1889,22
1890,20
1891,17
1892,17
1893,17
1894,17
1895,17
1896,17
1897,17
1898,17
1899,18
1900,18
1901,18
1902,18
1903,15
1904,15
1905,16
1906,16
1907,16
1908,16
1909,16
1910,16
1911,17
1912,17
1913,17
1914,15
1915,15
1916,15
1917,13
1918,13
1919,13
1920,3
1921,3
1922,4
1923,4
1924,4
1925,4
1926,4
1927,4
1928,5
1929,5
1930,5
1931,6
1932,6
1933,5
1934,5
1935,5
1936,5
1937,7
1938,7
1939,7
1940,6
1941,6
1942,6
1943,5
1944,5
1945,5
1946,5
1947,5
1948,5
1949,4
1950,4
1951,4
1952,3
1953,3
1954,3
1955,2
1956,2
1957,2
1958,2
1959,2
1960,2
1961,2
1962,2
1963,3
1964,3
1965,3
1966,3
1967,3
1968,3
1969,3
1970,3
1971,3
1972,3
1973,3
1974,3
1975,3
1976,4
1977,4
1978,4
1979,4
1980,4
1981,4
1982,4
1983,4
1984,4
1985,5
1986,5
1987,5
1988,6
1989,6
1990,6
1991,6
1992,6
1993,6
1994,6
1995,6
1996,6
1997,8
1998,8
1999,8
2000,9
2001,9
2002,9
2003,11
2004,11
2005,12
2006,13
2007,13
2008,14
2009,15
2010,15
2011,16
2012,16
2013,16
2014,17
2015,17
2016,18
2017,18
2018,19
2019,19
2020,19
2021,19
2022,20
2023,20
2024,20
2025,20
2026,20
2027,20
2028,21
2029,21
2030,21
2031,21
2032,21
2033,21
2034,22
2035,22
2036,22
2037,23
2038,23
2039,23
2040,24
2041,24
2042,24
2043,24
2044,24
2045,24
2046,24
2047,24
2048,24
2049,26
2050,26
2051,26
2052,27
2053,27
2054,25
2055,26
2056,26
2057,26
2058,26
2059,26
2060,26
2061,26
2062,26
2063,25
2064,23
2065,23
2066,23
2067,23
2068,23
2069,23
2070,23
2071,23
2072,21
2073,22
2074,22
2075,22
2076,22
2077,22
2078,22
2079,22
2080,22
2081,22
2082,21
2083,18
2084,18
2085,17
2086,17
2087,17
2088,18
2089,18
2090,18
2091,19
2092,19
2093,19
2094,19
2095,16
2096,16
2097,17
2098,17
2099,17
2100,18
2101,18
2102,18
2103,18
2104,18
2105,18
2106,15
2107,15
2108,15
2109,13
2110,13
2111,13
2112,3
2113,3
2114,4
2115,4
2116,4
2117,4
2118,4
2119,4
2120,5
2121,5
2122,5
2123,6
2124,6
2125,5
2126,5
2127,5
2128,5
2129,7
2130,7
2131,7
2132,6
2133,6
2134,6
2135,5
2136,5
2137,5
2138,5
2139,5
2140,5
2141,4
2142,4
2143,4
2144,3
2145,3
2146,3
2147,2
2148,2
2149,2
2150,2
2151,2
2152,2
2153,2
2154,2
2155,3
2156,3
2157,3
2158,3
2159,3
2160,3
2161,3
2162,3
2163,3
2164,3
2165,3
2166,3
2167,3
2168,4
2169,4
2170,4
2171,4
2172,4
2173,4
2174,4
2175,4
2176,4
2177,5
2178,5
2179,5
2180,6
2181,6
2182,6
2183,6
2184,6
2185,6
2186,6
2187,6
2188,6
2189,8
2190,8
2191,8
2192,9
2193,9
2194,9
2195,11
2196,11
2197,12
2198,13
2199,13
2200,14
2201,15
2202,15
2203,16
2204,16
2205,16
2206,17
2207,17
2208,18
2209,18
2210,19
2211,19
2212,19
2213,19
2214,20
2215,20
2216,20
2217,20
2218,20
2219,20
2220,21
2221,21
2222,21
2223,21
2224,21
2225,21
2226,22
2227,22
2228,22
2229,23
2230,23
2231,23
2232,24
2233,24
2234,24
2235,24
2236,24
2237,24
2238,24
2239,24
2240,24
2241,26
2242,26
2243,26
2244,27
2245,27
2246,25
2247,26
2248,26
2249,26
2250,26
2251,26
2252,26
2253,26
2254,26
2255,25
2256,23
2257,23
2258,23
2259,23
2260,23
2261,23
2262,23
2263,23
2264,21
2265,22
2266,22
2267,22
2268,22
2269,22
2270,22
2271,22
2272,22
2273,22
2274,21
2275,18
2276,18
2277,17
2278,17
2279,17
2280,18
2281,18
2282,18
2283,19
2284,19
2285,19
2286,19
2287,16
2288,16
2289,17
2290,17
2291,17
2292,18
2293,18
2294,18
2295,18
2296,18
2297,18
2298,15
2299,15
2300,15
2301,13
2302,13
2303,13
2304,3
2305,3
2306,4
2307,4
2308,4
2309,4
2310,4
2311,4
2312,5
2313,5
2314,5
2315,6
2316,6
2317,5
2318,5
2319,5
2320,5
2321,7
2322,7
2323,7
2324,6
2325,6
2326,6
2327,5
2328,5
2329,5
2330,5
2331,5
2332,5
2333,4
2334,4
2335,4
2336,3
2337,3
2338,3
2339,2
2340,2
2341,2
2342,2
2343,2
2344,2
2345,2
2346,2
2347,3
2348,3
2349,3
2350,3
2351,3
2352,3
2353,3
2354,3
2355,3
2356,3
2357,3
2358,3
2359,3
2360,4
2361,4
2362,4
2363,4
2364,4
2365,4
2366,4
2367,4
2368,4
2369,5
2370,5
2371,5
2372,6
2373,6
2374,6
2375,6
2376,6
2377,6
2378,6
2379,6
2380,6
2381,8
2382,8
2383,8
2384,9
2385,9
2386,9
2387,11
2388,11
2389,12
2390,13
2391,13
2392,14
2393,15
2394,15
2395,16
2396,16
2397,16
2398,17
2399,17
2400,18
2401,18
2402,19
2403,19
2404,19
2405,19
2406,20
2407,20
2408,20
2409,20
2410,20
2411,20
2412,21
2413,21
2414,21
2415,21
2416,21
2417,21
2418,22
2419,22
2420,22
2421,23
2422,23
2423,23
2424,24
2425,24
2426,24
2427,24
2428,24
2429,24
